author,author_model,critic,critic_model,primary_words,refined_words,rouge1,rouge2,rougeL,cosine
LLM-1,gpt-5.6-sol,LLM-2,kimi-k3,2769,4205,0.6759541430851835,0.2938017128755988,0.2623712088231026,0.7021690596749806
LLM-1,gpt-5.6-sol,LLM-3,qwen3.7-max,2769,3234,0.8034949460339215,0.42776349614395887,0.45571355148192566,0.842222690710098
LLM-1,gpt-5.6-sol,LLM-4,gemini-3.1-pro-preview,2769,3268,0.7575654539272356,0.34183673469387754,0.3417205032301939,0.833211503256725
LLM-1,gpt-5.6-sol,LLM-5,claude-opus-4.8,2769,3595,0.7289205373037709,0.3169823538934758,0.30004855154555754,0.7619856568785884
LLM-2,kimi-k3,LLM-1,gpt-5.6-sol,3111,4462,0.5805954825462013,0.15507060333761233,0.14168377823408623,0.549522145917776
LLM-2,kimi-k3,LLM-3,qwen3.7-max,3111,3482,0.7238339021615473,0.4147937411095306,0.45534698521046646,0.7128201590069478
LLM-2,kimi-k3,LLM-4,gemini-3.1-pro-preview,3111,3742,0.6963835155592936,0.26472237801458215,0.23969722455845247,0.6892434500823392
LLM-2,kimi-k3,LLM-5,claude-opus-4.8,3111,3374,0.6174746174746175,0.22228579602345874,0.21907621907621905,0.5595732508210083
LLM-3,qwen3.7-max,LLM-1,gpt-5.6-sol,1236,1359,0.6000762485703393,0.20831743609309422,0.23332062523827676,0.4945040891216495
LLM-3,qwen3.7-max,LLM-2,kimi-k3,1236,1486,0.622844827586207,0.2566498921639108,0.29094827586206895,0.5350580996094156
LLM-3,qwen3.7-max,LLM-4,gemini-3.1-pro-preview,1236,1495,0.7836089144500359,0.6107913669064748,0.6484543493889289,0.7605784743621274
LLM-3,qwen3.7-max,LLM-5,claude-opus-4.8,1236,1184,0.726827276439363,0.4511646914589293,0.4883625969783585,0.703282639485755
LLM-4,gemini-3.1-pro-preview,LLM-1,gpt-5.6-sol,1046,1207,0.5931525122276567,0.2421005785491767,0.2730102267674521,0.5608495645611719
LLM-4,gemini-3.1-pro-preview,LLM-2,kimi-k3,1046,993,0.5307506053268766,0.1434803683955405,0.20145278450363194,0.43496694039217815
LLM-4,gemini-3.1-pro-preview,LLM-3,qwen3.7-max,1046,1148,0.7359267734553775,0.45258818140174073,0.4851258581235698,0.718655183626414
LLM-4,gemini-3.1-pro-preview,LLM-5,claude-opus-4.8,1046,1089,0.707822808671065,0.40094339622641517,0.4288407163053723,0.7025858795548394
LLM-5,claude-opus-4.8,LLM-1,gpt-5.6-sol,996,2117,0.4857673267326733,0.12569659442724457,0.14294554455445546,0.48694742426588017
LLM-5,claude-opus-4.8,LLM-2,kimi-k3,996,2010,0.5520128824476651,0.2578150177247825,0.31239935587761675,0.5413573521629471
LLM-5,claude-opus-4.8,LLM-3,qwen3.7-max,996,1725,0.644633972992182,0.41891891891891886,0.4683724235963042,0.6271032252378036
LLM-5,claude-opus-4.8,LLM-4,gemini-3.1-pro-preview,996,1529,0.6428848390849167,0.3570042685292977,0.41644048080651414,0.6087202083717353
