target,target_model,pair,rouge1,rouge2,rougeL,semantic_cosine
LLM-1,gpt-5.6-sol,LLM-2 vs LLM-3,0.46747967479674796,0.0935910478128179,0.1371951219512195,0.5914170742034912
LLM-1,gpt-5.6-sol,LLM-2 vs LLM-4,0.47058823529411764,0.08856447688564477,0.1438988818667963,0.44693827629089355
LLM-1,gpt-5.6-sol,LLM-2 vs LLM-5,0.5652735889702715,0.11901681759379043,0.16372253339077983,0.5421852469444275
LLM-1,gpt-5.6-sol,LLM-3 vs LLM-4,0.5695623775310255,0.132112491824722,0.1946440235140431,0.6480554938316345
LLM-1,gpt-5.6-sol,LLM-3 vs LLM-5,0.42228412256267406,0.0758505298382599,0.1392757660167131,0.6495552062988281
LLM-1,gpt-5.6-sol,LLM-4 vs LLM-5,0.4575371549893843,0.07651434643995748,0.1464968152866242,0.6153426170349121
LLM-2,kimi-k3,LLM-1 vs LLM-3,0.3834782608695652,0.05918189730200175,0.11826086956521739,0.7562463283538818
LLM-2,kimi-k3,LLM-1 vs LLM-4,0.40103941100043317,0.058951018638925025,0.10827197921178,0.6808993816375732
LLM-2,kimi-k3,LLM-1 vs LLM-5,0.46845485455232344,0.0839319470699433,0.12164714771439365,0.6587833166122437
LLM-2,kimi-k3,LLM-3 vs LLM-4,0.5720966484801246,0.15456674473067916,0.2182385035074045,0.8017367720603943
LLM-2,kimi-k3,LLM-3 vs LLM-5,0.44910549043800124,0.06423718344657195,0.14558914250462676,0.6852839589118958
LLM-2,kimi-k3,LLM-4 vs LLM-5,0.45889570552147235,0.08108108108108109,0.13006134969325153,0.6603360176086426
LLM-3,qwen3.7-max,LLM-1 vs LLM-2,0.5551724137931036,0.12215320910973085,0.136551724137931,0.7771294116973877
LLM-3,qwen3.7-max,LLM-1 vs LLM-4,0.37461162893919225,0.0835184362505553,0.12427873945849979,0.6772701740264893
LLM-3,qwen3.7-max,LLM-1 vs LLM-5,0.4515077424612877,0.09380097879282219,0.12795436022819887,0.6555559635162354
LLM-3,qwen3.7-max,LLM-2 vs LLM-4,0.46310432569974563,0.11003565970453388,0.14249363867684478,0.7293170690536499
LLM-3,qwen3.7-max,LLM-2 vs LLM-5,0.5457063711911357,0.1321626617375231,0.15881809787626963,0.7565641403198242
LLM-3,qwen3.7-max,LLM-4 vs LLM-5,0.45292955892034237,0.09360580092287409,0.1435154707044108,0.7651646137237549
LLM-4,gemini-3.1-pro-preview,LLM-1 vs LLM-2,0.4687034277198212,0.0947054436987323,0.13785394932935918,0.6647064685821533
LLM-4,gemini-3.1-pro-preview,LLM-1 vs LLM-3,0.3397379912663755,0.07167832167832168,0.11877729257641921,0.513310432434082
LLM-4,gemini-3.1-pro-preview,LLM-1 vs LLM-5,0.4242902208201893,0.08839779005524862,0.12697160883280756,0.7213189601898193
LLM-4,gemini-3.1-pro-preview,LLM-2 vs LLM-3,0.44701086956521735,0.08843537414965985,0.15217391304347827,0.6632315516471863
LLM-4,gemini-3.1-pro-preview,LLM-2 vs LLM-5,0.5844004656577415,0.15034965034965037,0.18509895227008147,0.7563959360122681
LLM-4,gemini-3.1-pro-preview,LLM-3 vs LLM-5,0.45770392749244715,0.09984871406959153,0.1661631419939577,0.6739233732223511
LLM-5,claude-opus-4.8,LLM-1 vs LLM-2,0.4789887256576699,0.09572649572649572,0.12777587974034846,0.677502453327179
LLM-5,claude-opus-4.8,LLM-1 vs LLM-3,0.3378103378103378,0.06761710794297351,0.10826210826210825,0.6636994481086731
LLM-5,claude-opus-4.8,LLM-1 vs LLM-4,0.328744263662912,0.06346555323590815,0.1084689194826867,0.6390269994735718
LLM-5,claude-opus-4.8,LLM-2 vs LLM-3,0.4466257668711657,0.09582309582309582,0.14478527607361963,0.7311438322067261
LLM-5,claude-opus-4.8,LLM-2 vs LLM-4,0.4509554140127388,0.1096938775510204,0.1477707006369427,0.7587226629257202
LLM-5,claude-opus-4.8,LLM-3 vs LLM-4,0.5345454545454545,0.13843351548269583,0.2,0.7959228157997131
