target,target_model,critic,critic_model,words
LLM-1,gpt-5.6-sol,LLM-2,kimi-k3,1301
LLM-1,gpt-5.6-sol,LLM-3,qwen3.7-max,705
LLM-1,gpt-5.6-sol,LLM-4,gemini-3.1-pro-preview,694
LLM-1,gpt-5.6-sol,LLM-5,claude-opus-4.8,895
LLM-2,kimi-k3,LLM-1,gpt-5.6-sol,2210
LLM-2,kimi-k3,LLM-3,qwen3.7-max,616
LLM-2,kimi-k3,LLM-4,gemini-3.1-pro-preview,641
LLM-2,kimi-k3,LLM-5,claude-opus-4.8,1236
LLM-3,qwen3.7-max,LLM-1,gpt-5.6-sol,1990
LLM-3,qwen3.7-max,LLM-2,kimi-k3,1053
LLM-3,qwen3.7-max,LLM-4,gemini-3.1-pro-preview,732
LLM-3,qwen3.7-max,LLM-5,claude-opus-4.8,907
LLM-4,gemini-3.1-pro-preview,LLM-1,gpt-5.6-sol,1498
LLM-4,gemini-3.1-pro-preview,LLM-2,kimi-k3,1185
LLM-4,gemini-3.1-pro-preview,LLM-3,qwen3.7-max,610
LLM-4,gemini-3.1-pro-preview,LLM-5,claude-opus-4.8,910
LLM-5,claude-opus-4.8,LLM-1,gpt-5.6-sol,2016
LLM-5,claude-opus-4.8,LLM-2,kimi-k3,1145
LLM-5,claude-opus-4.8,LLM-3,qwen3.7-max,521
LLM-5,claude-opus-4.8,LLM-4,gemini-3.1-pro-preview,652
