pair,model_a,model_b,rouge1,rouge2,rougeL,cosine
LLM-1 vs LLM-2,gpt-5.6-sol,kimi-k3,0.5999749593088769,0.1480275516593613,0.13321647677475898,0.5588748605523524
LLM-1 vs LLM-3,gpt-5.6-sol,qwen3.7-max,0.34981802611860413,0.07196401799100449,0.11303789338471418,0.31919780879411186
LLM-1 vs LLM-4,gpt-5.6-sol,gemini-3.1-pro-preview,0.4004273504273504,0.09491235570756734,0.1371794871794872,0.451957485582088
LLM-1 vs LLM-5,gpt-5.6-sol,claude-opus-4.8,0.45680345572354214,0.08894490457328051,0.11663066954643629,0.33109220331365175
LLM-2 vs LLM-3,kimi-k3,qwen3.7-max,0.3007703081232493,0.06234676007005254,0.10014005602240895,0.2699415272613885
LLM-2 vs LLM-4,kimi-k3,gemini-3.1-pro-preview,0.33071141408844607,0.08078335373317012,0.11081978675056807,0.39685114860882575
LLM-2 vs LLM-5,kimi-k3,claude-opus-4.8,0.4126117932393512,0.07611827141774072,0.10610883735031075,0.31961055988320164
LLM-3 vs LLM-4,qwen3.7-max,gemini-3.1-pro-preview,0.5546777546777547,0.155638784852268,0.19459459459459458,0.4000966259758507
LLM-3 vs LLM-5,qwen3.7-max,claude-opus-4.8,0.46327339225845776,0.08173223543763342,0.13349588540079246,0.25676139507649764
LLM-4 vs LLM-5,gemini-3.1-pro-preview,claude-opus-4.8,0.4571428571428571,0.07664233576642335,0.13617021276595748,0.29819015805514437
