author,author_model,critic,critic_model,words
LLM-1,gpt-5.6-sol,LLM-2,kimi-k3,4205
LLM-1,gpt-5.6-sol,LLM-3,qwen3.7-max,3234
LLM-1,gpt-5.6-sol,LLM-4,gemini-3.1-pro-preview,3268
LLM-1,gpt-5.6-sol,LLM-5,claude-opus-4.8,3595
LLM-2,kimi-k3,LLM-1,gpt-5.6-sol,4462
LLM-2,kimi-k3,LLM-3,qwen3.7-max,3482
LLM-2,kimi-k3,LLM-4,gemini-3.1-pro-preview,3742
LLM-2,kimi-k3,LLM-5,claude-opus-4.8,3374
LLM-3,qwen3.7-max,LLM-1,gpt-5.6-sol,1359
LLM-3,qwen3.7-max,LLM-2,kimi-k3,1486
LLM-3,qwen3.7-max,LLM-4,gemini-3.1-pro-preview,1495
LLM-3,qwen3.7-max,LLM-5,claude-opus-4.8,1184
LLM-4,gemini-3.1-pro-preview,LLM-1,gpt-5.6-sol,1207
LLM-4,gemini-3.1-pro-preview,LLM-2,kimi-k3,993
LLM-4,gemini-3.1-pro-preview,LLM-3,qwen3.7-max,1148
LLM-4,gemini-3.1-pro-preview,LLM-5,claude-opus-4.8,1089
LLM-5,claude-opus-4.8,LLM-1,gpt-5.6-sol,2117
LLM-5,claude-opus-4.8,LLM-2,kimi-k3,2010
LLM-5,claude-opus-4.8,LLM-3,qwen3.7-max,1725
LLM-5,claude-opus-4.8,LLM-4,gemini-3.1-pro-preview,1529
