author,author_model,critic,critic_model,words
LLM-1,gpt-5.6-sol,LLM-2,kimi-k3,3481
LLM-1,gpt-5.6-sol,LLM-3,qwen3.7-max,3100
LLM-1,gpt-5.6-sol,LLM-4,gemini-3.1-pro-preview,3251
LLM-1,gpt-5.6-sol,LLM-5,claude-opus-4.8,3310
LLM-2,kimi-k3,LLM-1,gpt-5.6-sol,4746
LLM-2,kimi-k3,LLM-3,qwen3.7-max,3284
LLM-2,kimi-k3,LLM-4,gemini-3.1-pro-preview,2506
LLM-2,kimi-k3,LLM-5,claude-opus-4.8,2928
LLM-3,qwen3.7-max,LLM-1,gpt-5.6-sol,1582
LLM-3,qwen3.7-max,LLM-2,kimi-k3,1430
LLM-3,qwen3.7-max,LLM-4,gemini-3.1-pro-preview,1107
LLM-3,qwen3.7-max,LLM-5,claude-opus-4.8,1130
LLM-4,gemini-3.1-pro-preview,LLM-1,gpt-5.6-sol,1320
LLM-4,gemini-3.1-pro-preview,LLM-2,kimi-k3,1186
LLM-4,gemini-3.1-pro-preview,LLM-3,qwen3.7-max,1078
LLM-4,gemini-3.1-pro-preview,LLM-5,claude-opus-4.8,1041
LLM-5,claude-opus-4.8,LLM-1,gpt-5.6-sol,2169
LLM-5,claude-opus-4.8,LLM-2,kimi-k3,1836
LLM-5,claude-opus-4.8,LLM-3,qwen3.7-max,1755
LLM-5,claude-opus-4.8,LLM-4,gemini-3.1-pro-preview,1643
