target,target_model,pair,rouge1,rouge2,rougeL,cosine
LLM-1,gpt-5.6-sol,LLM-2 vs LLM-3,0.44028776978417267,0.08545367258761404,0.13621103117505995,0.3374804702708692
LLM-1,gpt-5.6-sol,LLM-2 vs LLM-4,0.41614608361364724,0.08080808080808081,0.12590100913022584,0.2915616192284446
LLM-1,gpt-5.6-sol,LLM-2 vs LLM-5,0.5809236081139405,0.13218142548596112,0.1614156236512732,0.4518776419290014
LLM-1,gpt-5.6-sol,LLM-3 vs LLM-4,0.5625,0.15647226173541964,0.21590909090909088,0.3993866397523111
LLM-1,gpt-5.6-sol,LLM-3 vs LLM-5,0.4549878345498783,0.0876979293544458,0.1532846715328467,0.316170516132618
LLM-1,gpt-5.6-sol,LLM-4 vs LLM-5,0.4853658536585365,0.10012210012210013,0.1670731707317073,0.3338917349794651
LLM-2,kimi-k3,LLM-1 vs LLM-3,0.314404432132964,0.06583506583506585,0.1018005540166205,0.2483732284029004
LLM-2,kimi-k3,LLM-1 vs LLM-4,0.3289564616447823,0.08229598893499308,0.10573600552868002,0.30564670326385
LLM-2,kimi-k3,LLM-1 vs LLM-5,0.4911986588432523,0.09505171931786412,0.12461581447331657,0.33519881669942697
LLM-2,kimi-k3,LLM-3 vs LLM-4,0.5290611028315946,0.14179104477611942,0.19225037257824146,0.3119099471657818
LLM-2,kimi-k3,LLM-3 vs LLM-5,0.4005920078934386,0.08987654320987654,0.142081894425259,0.25361073363315895
LLM-2,kimi-k3,LLM-4 vs LLM-5,0.4220363994097393,0.09158050221565732,0.13772749631087064,0.29307596631248795
LLM-3,qwen3.7-max,LLM-1 vs LLM-2,0.4850868567682726,0.0787143325680551,0.1252048508685677,0.38215975314246914
LLM-3,qwen3.7-max,LLM-1 vs LLM-4,0.36638407666789535,0.06934710438952417,0.11647622558053816,0.33864376818764597
LLM-3,qwen3.7-max,LLM-1 vs LLM-5,0.4307904729030031,0.08981001727115716,0.1215050051777701,0.3095446826657539
LLM-3,qwen3.7-max,LLM-2 vs LLM-4,0.48257080610021785,0.09814612868047982,0.14923747276688454,0.37504807665236845
LLM-3,qwen3.7-max,LLM-2 vs LLM-5,0.5821782178217823,0.12190287413280476,0.17821782178217824,0.4705334931636022
LLM-3,qwen3.7-max,LLM-4 vs LLM-5,0.4803804994054697,0.10714285714285714,0.1605231866825208,0.36752250069774506
LLM-4,gemini-3.1-pro-preview,LLM-1 vs LLM-2,0.6310786106032906,0.17929015733626052,0.2361974405850091,0.4954626193279211
LLM-4,gemini-3.1-pro-preview,LLM-1 vs LLM-3,0.37647058823529417,0.08290155440414507,0.12799999999999997,0.31004850046516835
LLM-4,gemini-3.1-pro-preview,LLM-1 vs LLM-5,0.4815422477440525,0.08620689655172413,0.13781788351107466,0.2832591662812712
LLM-4,gemini-3.1-pro-preview,LLM-2 vs LLM-3,0.4251626898047722,0.09663409337676439,0.15401301518438176,0.3497135410040223
LLM-4,gemini-3.1-pro-preview,LLM-2 vs LLM-5,0.4988409828465461,0.10301624129930394,0.1520630505331479,0.34048589432735027
LLM-4,gemini-3.1-pro-preview,LLM-3 vs LLM-5,0.5016160310277956,0.13721682847896438,0.20555914673561732,0.35257936878093554
LLM-5,claude-opus-4.8,LLM-1 vs LLM-2,0.45710784313725494,0.08890251379521764,0.13419117647058823,0.3569708735900238
LLM-5,claude-opus-4.8,LLM-1 vs LLM-3,0.29853054911059546,0.06114551083591331,0.09976798143851508,0.3133155700366626
LLM-5,claude-opus-4.8,LLM-1 vs LLM-4,0.3670605612998523,0.08647450110864745,0.12112259970457905,0.3997492007422516
LLM-5,claude-opus-4.8,LLM-2 vs LLM-3,0.3847019122609674,0.07657657657657659,0.140607424071991,0.28686571701493835
LLM-5,claude-opus-4.8,LLM-2 vs LLM-4,0.45999999999999996,0.09905163329820864,0.1463157894736842,0.2996719063340058
LLM-5,claude-opus-4.8,LLM-3 vs LLM-4,0.4795417348608838,0.08688524590163933,0.1702127659574468,0.2914018234072847
