pair,model_a,model_b,rouge1,rouge2,rougeL,cosine
LLM-1 vs LLM-2,gpt-5.6-sol,kimi-k3,0.5858957219251336,0.1537947174857907,0.1600935828877005,0.567383017656775
LLM-1 vs LLM-3,gpt-5.6-sol,qwen3.7-max,0.4326509982309831,0.0920353982300885,0.14152135456153653,0.42179963119184877
LLM-1 vs LLM-4,gpt-5.6-sol,gemini-3.1-pro-preview,0.42689434364994666,0.12066203950880938,0.1456776947705443,0.5320559195353022
LLM-1 vs LLM-5,gpt-5.6-sol,claude-opus-4.8,0.41309012875536477,0.10628019323671498,0.14163090128755365,0.4904590957877873
LLM-2 vs LLM-3,kimi-k3,qwen3.7-max,0.39920512254360785,0.07996465650541197,0.11879001987193641,0.34922224451698625
LLM-2 vs LLM-4,kimi-k3,gemini-3.1-pro-preview,0.3759259259259259,0.09170912459471979,0.12592592592592594,0.41125010569534237
LLM-2 vs LLM-5,kimi-k3,claude-opus-4.8,0.38558139534883723,0.09167054443927408,0.11674418604651161,0.4366082995401318
LLM-3 vs LLM-4,qwen3.7-max,gemini-3.1-pro-preview,0.6210204971652856,0.20776953295504147,0.24509376362843435,0.5622335556636106
LLM-3 vs LLM-5,qwen3.7-max,claude-opus-4.8,0.4857017157941047,0.10744165565830033,0.16893972723273207,0.3635677988840399
LLM-4 vs LLM-5,gemini-3.1-pro-preview,claude-opus-4.8,0.5106589147286823,0.10184287099903006,0.187984496124031,0.4748813875397356
