target,target_model,critic,critic_model,words
LLM-1,gpt-5.6-sol,LLM-2,kimi-k3,1182
LLM-1,gpt-5.6-sol,LLM-3,qwen3.7-max,706
LLM-1,gpt-5.6-sol,LLM-4,gemini-3.1-pro-preview,794
LLM-1,gpt-5.6-sol,LLM-5,claude-opus-4.8,1010
LLM-2,kimi-k3,LLM-1,gpt-5.6-sol,1646
LLM-2,kimi-k3,LLM-3,qwen3.7-max,636
LLM-2,kimi-k3,LLM-4,gemini-3.1-pro-preview,651
LLM-2,kimi-k3,LLM-5,claude-opus-4.8,927
LLM-3,qwen3.7-max,LLM-1,gpt-5.6-sol,1601
LLM-3,qwen3.7-max,LLM-2,kimi-k3,1239
LLM-3,qwen3.7-max,LLM-4,gemini-3.1-pro-preview,638
LLM-3,qwen3.7-max,LLM-5,claude-opus-4.8,833
LLM-4,gemini-3.1-pro-preview,LLM-1,gpt-5.6-sol,1789
LLM-4,gemini-3.1-pro-preview,LLM-2,kimi-k3,902
LLM-4,gemini-3.1-pro-preview,LLM-3,qwen3.7-max,529
LLM-4,gemini-3.1-pro-preview,LLM-5,claude-opus-4.8,760
LLM-5,claude-opus-4.8,LLM-1,gpt-5.6-sol,1848
LLM-5,claude-opus-4.8,LLM-2,kimi-k3,992
LLM-5,claude-opus-4.8,LLM-3,qwen3.7-max,556
LLM-5,claude-opus-4.8,LLM-4,gemini-3.1-pro-preview,495
