pair,model_a,model_b,rouge1,rouge2,rougeL,semantic_cosine
LLM-1 vs LLM-2,gpt-5.6-sol,kimi-k3,0.6972586412395709,0.23211446740858505,0.20858164481525626,0.8022199273109436
LLM-1 vs LLM-3,gpt-5.6-sol,qwen3.7-max,0.3951658234963463,0.11417322834645667,0.14221472737492974,0.6774302124977112
LLM-1 vs LLM-4,gpt-5.6-sol,gemini-3.1-pro-preview,0.4251180883578771,0.1189880455935502,0.15004167824395664,0.6151325702667236
LLM-1 vs LLM-5,gpt-5.6-sol,claude-opus-4.8,0.47400693148493733,0.13123499599893307,0.1583577712609971,0.7539081573486328
LLM-2 vs LLM-3,kimi-k3,qwen3.7-max,0.4049826187717266,0.11246376811594204,0.14716106604866744,0.6352614760398865
LLM-2 vs LLM-4,kimi-k3,gemini-3.1-pro-preview,0.42313197824219867,0.1168719564594672,0.15173203549957054,0.5900490283966064
LLM-2 vs LLM-5,kimi-k3,claude-opus-4.8,0.47023319615912207,0.11803458687894591,0.16296296296296298,0.6851927638053894
LLM-3 vs LLM-4,qwen3.7-max,gemini-3.1-pro-preview,0.5979176995537928,0.2044665012406948,0.26276648487853244,0.6614079475402832
LLM-3 vs LLM-5,qwen3.7-max,claude-opus-4.8,0.5431074227754725,0.11998154130133827,0.20193637621023514,0.7105731964111328
LLM-4 vs LLM-5,gemini-3.1-pro-preview,claude-opus-4.8,0.5076923076923077,0.1295289855072464,0.17828054298642534,0.6011860966682434
