author,author_model,pair,rouge1,rouge2,rougeL,semantic_cosine
LLM-1,gpt-5.6-sol,after LLM-2 vs after LLM-3,0.7131310050327895,0.22944317315026697,0.24035382034466982,0.6854878664016724
LLM-1,gpt-5.6-sol,after LLM-2 vs after LLM-4,0.6737256088337619,0.2097140263277349,0.22568446528513086,0.6457768678665161
LLM-1,gpt-5.6-sol,after LLM-2 vs after LLM-5,0.6896758703481393,0.22936055238667066,0.2217887154861945,0.6537548303604126
LLM-1,gpt-5.6-sol,after LLM-3 vs after LLM-4,0.6998094027954256,0.24626628535112804,0.2690597204574333,0.6704631447792053
LLM-1,gpt-5.6-sol,after LLM-3 vs after LLM-5,0.6879823594266813,0.23633212541358123,0.2372027090880454,0.6567574739456177
LLM-1,gpt-5.6-sol,after LLM-4 vs after LLM-5,0.7049820396689053,0.23308857990938917,0.23926284554115257,0.6860532760620117
LLM-2,kimi-k3,after LLM-1 vs after LLM-3,0.5692836238707214,0.1499299987272496,0.151418755566866,0.46612322330474854
LLM-2,kimi-k3,after LLM-1 vs after LLM-4,0.5447656469267471,0.15889949466591802,0.16980072972214424,0.5158632397651672
LLM-2,kimi-k3,after LLM-1 vs after LLM-5,0.5568742498999868,0.13125250100040015,0.13761834911321508,0.508197546005249
LLM-2,kimi-k3,after LLM-3 vs after LLM-4,0.663838452401154,0.24070616194194536,0.30850161208213134,0.5001932382583618
LLM-2,kimi-k3,after LLM-3 vs after LLM-5,0.6524098308330674,0.1950830140485313,0.22566230450047878,0.4931809604167938
LLM-2,kimi-k3,after LLM-4 vs after LLM-5,0.6235315380444605,0.1941782679443139,0.24832821254292425,0.5719667673110962
LLM-3,qwen3.7-max,after LLM-1 vs after LLM-2,0.6053412462908011,0.21774991751897063,0.21694691724365317,0.6106663942337036
LLM-3,qwen3.7-max,after LLM-1 vs after LLM-4,0.5372693726937269,0.18906942392909892,0.2051660516605166,0.6824402809143066
LLM-3,qwen3.7-max,after LLM-1 vs after LLM-5,0.5599112426035503,0.2139156180606958,0.2285502958579882,0.6949893236160278
LLM-3,qwen3.7-max,after LLM-2 vs after LLM-4,0.5956136975759907,0.23026569118213325,0.2500961908426318,0.7077320218086243
LLM-3,qwen3.7-max,after LLM-2 vs after LLM-5,0.6301581180100271,0.2747973755306832,0.25993058233706134,0.6444193124771118
LLM-3,qwen3.7-max,after LLM-4 vs after LLM-5,0.622907488986784,0.2619047619047619,0.2969162995594713,0.7667704820632935
LLM-4,gemini-3.1-pro-preview,after LLM-1 vs after LLM-2,0.6129289704708699,0.23242811501597443,0.2633679169992019,0.5379340648651123
LLM-4,gemini-3.1-pro-preview,after LLM-1 vs after LLM-3,0.5579078455790784,0.2243456584960532,0.26650062266500624,0.631625771522522
LLM-4,gemini-3.1-pro-preview,after LLM-1 vs after LLM-5,0.5579617834394904,0.19124521886952825,0.23694267515923567,0.5534158945083618
LLM-4,gemini-3.1-pro-preview,after LLM-2 vs after LLM-3,0.6105919003115265,0.2743875278396437,0.28660436137071654,0.6561183929443359
LLM-4,gemini-3.1-pro-preview,after LLM-2 vs after LLM-5,0.6183310533515732,0.24920127795527158,0.285453716370269,0.6441729068756104
LLM-4,gemini-3.1-pro-preview,after LLM-3 vs after LLM-5,0.6059160305343512,0.2731614135625597,0.29293893129770987,0.6320284605026245
LLM-5,claude-opus-4.8,after LLM-1 vs after LLM-2,0.5458080194410693,0.11524434719183077,0.15018226002430135,0.6273228526115417
LLM-5,claude-opus-4.8,after LLM-1 vs after LLM-3,0.5366459627329193,0.11086254039274174,0.14608695652173914,0.6383321285247803
LLM-5,claude-opus-4.8,after LLM-1 vs after LLM-4,0.532681420483788,0.10298661174047374,0.15028306742151312,0.622702956199646
LLM-5,claude-opus-4.8,after LLM-2 vs after LLM-3,0.6197860962566845,0.21883360085607276,0.25668449197860965,0.7798347473144531
LLM-5,claude-opus-4.8,after LLM-2 vs after LLM-4,0.5981671757845043,0.22672964712420116,0.25659539016939736,0.7250118255615234
LLM-5,claude-opus-4.8,after LLM-3 vs after LLM-4,0.6345770435773284,0.24850384724992877,0.26772999145542586,0.7366591095924377
