pair,model_a,model_b,rouge1,rouge2,rougeL,semantic_cosine
LLM-1 vs LLM-2,gpt-5.6-sol,kimi-k3,0.5641339244763797,0.11806086557577612,0.1458492585231616,0.49248892068862915
LLM-1 vs LLM-3,gpt-5.6-sol,qwen3.7-max,0.4733333333333333,0.10504376823676531,0.13791666666666666,0.7186633348464966
LLM-1 vs LLM-4,gpt-5.6-sol,gemini-3.1-pro-preview,0.4410346339324857,0.09254385964912282,0.13678211310828586,0.639517068862915
LLM-1 vs LLM-5,gpt-5.6-sol,claude-opus-4.8,0.5136330140014739,0.08440840398083302,0.11974944731024319,0.6088529825210571
LLM-2 vs LLM-3,kimi-k3,qwen3.7-max,0.44953940634595707,0.09870980954331353,0.1392016376663255,0.526002049446106
LLM-2 vs LLM-4,kimi-k3,gemini-3.1-pro-preview,0.43167635033354856,0.1046286329386437,0.1433182698515171,0.5536820888519287
LLM-2 vs LLM-5,kimi-k3,claude-opus-4.8,0.5231271539996373,0.07984031936127746,0.12407037910393615,0.4972779154777527
LLM-3 vs LLM-4,qwen3.7-max,gemini-3.1-pro-preview,0.6118375774260151,0.1590909090909091,0.2002752924982794,0.6696926951408386
LLM-3 vs LLM-5,qwen3.7-max,claude-opus-4.8,0.545068928950159,0.09283819628647216,0.14899257688229056,0.6846574544906616
LLM-4 vs LLM-5,gemini-3.1-pro-preview,claude-opus-4.8,0.4985851726089417,0.09852774631936581,0.1414827391058291,0.6890724301338196
